Hotel Name,Correlation (Winter),Correlation (Spring),Correlation (Summer),Correlation (Autumn),Correlation
Best Western Envoy Inn,0.06841289790617756,-0.13140387645213816,-0.26830835278232174,0.34290284159977136,Not enough data
Best Western Executive Inn,0.5831935287156691,-0.6200388765545862,-0.06390554073410841,Data not enough,Not enough data
Best Western Executive Inn Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Fort Lauderdale Airport/Cruise Port,-0.42185798681693515,0.20325387754542945,-0.07639050239431847,0.09523131335540261,Not enough data
Best Western Fostoria Inn Suites,Data not enough,Data not enough,1.0,-1.0,-1.0
Best Western Garden Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Gardens Hotel At Joshua Tree National Park,Data not enough,-0.16487884212309287,Data not enough,0.1648788421230928,Not enough data
Best Western Gardens Hotel at Joshua Tree National Park,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Governors Inn & Suites,-1.0,Data not enough,Data not enough,1.0,Not enough data
Best Western Granbury Inn Suites,-0.3429675497486261,0.23891224918482962,Data not enough,0.1571125651565217,Not enough data
Best Western Grandma's Feather Bed,-0.5510311154857142,Data not enough,Data not enough,0.5510311154857142,-0.16333600131847542
Best Western Greentree Inn & Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Hampton Coliseum Inn,Data not enough,0.9999999999999999,Data not enough,-0.9999999999999999,Not enough data
Best Western Harker Heights,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Hilliard Inn Suites,1.0,Data not enough,Data not enough,-1.0,Not enough data
Best Western Hospitality Hotel and Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western I-5 Inn & Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Inn,-0.380033041858758,0.380033041858758,Data not enough,Data not enough,Not enough data
Best Western Inn & Suites,Data not enough,Data not enough,0.9999999999999999,-0.9999999999999999,Not enough data
Best Western Inn & Suites At Discovery Kingdom,0.40412598234633995,Data not enough,-0.5284113452934631,0.22556209122679904,0.22697409557370762
Best Western Inn At Palm Springs,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Inn Florence,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Inn Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Inn Suites At Discovery Kingdom,Data not enough,0.008976361727059136,Data not enough,-0.008976361727059136,Not enough data
Best Western Inn of Chandler,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Inn of Nacogdoches,1.0,-1.0,Data not enough,Data not enough,Not enough data
Best Western Intracoastal Inn,Data not enough,-0.4871618583399902,0.3909261334524447,0.20128948315697023,Not enough data
Best Western Kelly Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Kennesaw Inn,-0.4747860807574959,-0.24237767751595313,0.3828979956765982,0.3887389025583658,Not enough data
Best Western Kenosha Inn,Data not enough,-0.9999999999999999,0.9999999999999999,Data not enough,Not enough data
Best Western Kings Quarters,Data not enough,Data not enough,-0.10704457949932443,0.10704457949932443,Not enough data
Best Western Lake Conroe Inn,-0.9587508557916959,0.1334439842100172,Data not enough,0.6493728115054339,0.42192256862282546
Best Western Lake Okeechobee,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Lakewood Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Lamplighter Inn Suites at SDSU,0.1591631231687379,0.22796157660859653,0.2247537023446968,-0.7218681471148514,-0.8618232813685796
Best Western Lee's Motor Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Logan Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Luxury Inn,0.05684462360426911,-0.06901697926536,0.38975524070587175,-0.26898082376843085,Not enough data
Best Western Manhattan Inn,0.7407634276395567,-0.9521481258820178,Data not enough,0.21138469824246114,Not enough data
Best Western Marble Falls Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Markland Hotel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Mcdonough Inn & Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Merrimack Valley,Data not enough,0.05146311844274248,0.391032826114512,-0.3399785535844607,Not enough data
Best Western Mesquite Inn,0.24211332021712054,0.18783049499602075,-0.5297866463255839,Data not enough,0.12012988287555901
Best Western Milwaukee West,-1.0,1.0,Data not enough,Data not enough,-1.0
Best Western Mission Bay,0.18632434157626948,0.03314324374687048,0.0804789314732789,-0.3132209601344456,0.061900801918830094
Best Western Mission Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Mt Pleasant Inn,0.36674054716819315,-0.6705922273202896,0.4075926587514866,Data not enough,Not enough data
Best Western Mt. Pleasant Inn,Data not enough,-0.08645400639873632,0.08645400639873634,Data not enough,Not enough data
Best Western Mt. Vernon Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Mulberry Hotel,Data not enough,-1.0,1.0,Data not enough,Not enough data
Best Western Northwest Inn,-0.44862961190970474,0.18760657996680496,0.3598987056285704,-0.17925209255217972,Not enough data
Best Western Of Alexandria Inn & Suites & Conference Center,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Of Hope,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Of Walterboro,-0.24146879748539332,0.2414687974853933,Data not enough,Data not enough,Not enough data
Best Western Of Whitmore Lake,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Old Colony Inn,0.9984466941588135,Data not enough,Data not enough,-0.9984466941588135,Not enough data
Best Western Old Mill Inn,0.8258646612323117,Data not enough,-0.09424354476077126,-0.71704158935828,0.8258646612323117
Best Western Orange Plaza,Data not enough,0.7270847916295122,0.23102532895324818,-0.9581101205827603,Not enough data
Best Western Orchard Inn,Data not enough,0.38844808957408916,-0.5906032633449647,0.3348902282347927,Not enough data
Best Western Orlando Convention Center Hotel,0.15406637077036026,-0.05034084534363156,-0.24155784783357373,0.19482766934061954,Not enough data
Best Western Orlando East Inn & Suites,-0.14873688255397852,-0.0990783998052571,0.03490905982489261,0.20187653972111175,0.04508159761456789
Best Western Orlando Gateway Hotel,0.2537810342812312,-0.5431994030036882,0.22327825938377346,0.18272060159276424,Not enough data
Best Western Palo Duro Canyon Inn Suites,-0.08149998742992202,0.33615692771722416,0.29879770497501323,-0.73118105987352,Not enough data
Best Western Paradise Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Paradise Inn of Nephi,Data not enough,0.8042314364875985,-0.8042314364875985,Data not enough,Not enough data
Best Western Park Crest Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Pasadena Royale,-1.0,1.0,Data not enough,Data not enough,Not enough data
Best Western Pinedale Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Pioneer Inn,-0.1564944463925947,-0.23378351631390779,Data not enough,0.36188698760181665,Not enough data
Best Western Plus Abbey Inn,0.02278148022571184,-0.2499579503610338,0.05927553574305462,0.17930209997186677,0.05734666137058944
Best Western Plus Arlington North Hotel Suites,Data not enough,-0.2800098975180157,0.2800098975180157,Data not enough,Not enough data
Best Western Plus ArlingtonMarysville,-0.6495367797631446,0.1831174225960698,0.2602032677692848,0.1296276349336564,0.14723020030882167
Best Western Plus Arroyo Roble Hotel & Creekside Villas,0.13432338645306602,-0.06269325080473649,0.17855803209706894,-0.2227704418615949,Not enough data
Best Western Plus Bandana Square,-0.20036736606155123,-0.058612433208671495,Data not enough,0.35903057244051345,0.35903057244051345
Best Western Plus Bayside Inn,0.06119065982077139,0.002537446470340876,-0.0007268189083369573,-0.029288790353162942,-0.07962848683138005
Best Western Plus Burleson Inn Suites,-1.0,Data not enough,1.0,Data not enough,-1.0
Best Western Plus Carousel Inn Suites,Data not enough,0.9999999999999999,-0.9999999999999999,Data not enough,Not enough data
Best Western Plus Carriage Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Cascade Inn & Suites,0.1824361078001815,-0.7388683101995986,0.2762877196589656,0.29080488449262837,Not enough data
Best Western Plus Chalmette Hotel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Classic Inn Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Clearfield,Data not enough,-0.7081734254985563,Data not enough,0.7081734254985564,Not enough data
Best Western Plus Columbia North East,-0.4765297677769114,0.21979461417416724,0.06289101478955694,0.2545060004508707,0.12816896297763847
Best Western Plus Columbia River Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Concordville Hotel,-0.21623122478947687,0.7799642167436037,Data not enough,-0.4206068914276472,Not enough data
Best Western Plus Crown Colony Inn Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Cutting Horse Inn Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Dallas Hotel & Conference Center,0.0948766653433102,0.30477878588788376,-0.49555724040666327,0.108035600559567,0.11271300384678365
Best Western Plus Denton Inn & Suites,-0.07519286710941418,0.07519286710941418,Data not enough,Data not enough,-0.07519286710941418
Best Western Plus Deridder Inn & Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Downtown Tulsa/Route 66 Hotel,Data not enough,-0.9999999999999999,0.9999999999999999,Data not enough,Not enough data
Best Western Plus Easton Inn Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Eau Claire Conference Center,0.2094870744520225,-0.7442893517111567,0.44668820040601315,0.22615640345036306,Not enough data
Best Western Plus Edgewater Hotel,Data not enough,Data not enough,1.0,-1.0,-1.0
Best Western Plus Encina Inn & Suites,0.20374412315489793,0.3037435365415849,-0.5846172966001291,0.22647124595511176,0.1507897937605745
Best Western Plus Executive Hotel Suites,Data not enough,-1.0,1.0,Data not enough,Not enough data
Best Western Plus Executive Inn,Data not enough,1.0,-1.0,Data not enough,Not enough data
Best Western Plus Executive Suites,0.30956080275057857,0.3143332278938394,-0.6895618821287008,0.08093168906750896,Not enough data
Best Western Plus Forest Park Inn,1.0,Data not enough,Data not enough,-1.0,Not enough data
Best Western Plus Fort Wayne Inn Suites North,0.12455992769418847,0.12016972801252644,-0.5199900669533215,0.2585826566537909,Not enough data
Best Western Plus Franklin Square Inn TroyAlbany,1.0,Data not enough,Data not enough,-1.0,Not enough data
Best Western Plus French Quarter Landmark Hotel,0.1029922056600654,-0.03205958077621392,-0.04382229784443851,-0.01476768508541932,0.03523140460189764
Best Western Plus Fresno Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Gadsden Hotel Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Glenview-Chicagoland Inn Suites,0.2574793701634157,0.20853933869511573,0.25951581742404817,-0.6279359554850097,Not enough data
Best Western Plus Goodman Inn & Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Best Western Plus Grand Island Inn Suites,0.3106640143530078,-0.3106640143530078,Data not enough,Data not enough,Not enough data
Best Western Plus Hacienda Hotel Old Town,0.021702505020853025,0.07590776730421944,0.05457508975931873,-0.14180182699615226,0.07088576240764193
Best Western Plus Hawthorne Terrace Hotel,Data not enough,0.43697162373639153,0.049623017910527326,-0.4214033210116172,Not enough data
Best Western Plus Heritage Inn Rancho Cucamonga/Ontario,-0.5304959530805301,Data not enough,-0.08920460069429068,0.5666455647730709,Not enough data
Best Western Plus Hotel & Suites Airport South,0.986635910896534,Data not enough,Data not enough,-0.986635910896534,Not enough data
Best Western Plus Hotel At The Convention Center,0.13288643639136763,-0.03600906428309457,0.1375526305994109,-0.18160204486216092,Not enough data
Best Western Plus Hotel at the Convention Center,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
