Unnamed: 0,Hotel Name,Province,Postal,Category,SubCategory,Compound Sentiment,Total Reviews,Average Rating
1655,Super 8 Dubois,WY,82513,"Hotel & Motel reservations,  Budget Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
1656,"Super 8 Fairview Heights, St. Louis",IL,62208,"Travel & Transport,  Motel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,-0,1,3
1657,Super 8 Forney,TX,75126,"Tourist Hotel,  Budget Hotel,  Family-Friendly Hotel,  Business Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
1658,Super 8 Freeport,IL,61032,"Service stations,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,4
1659,Super 8 Indio,CA,92201,"Budget Hotel,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
1660,Super 8 Lavonia,GA,30553,"Hotel & Motel reservations,  Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Hotel & Motel",Accommodation & Food Services,1,1,3
1661,Super 8 Midland,TX,79703,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,-0,1,5
1662,Super 8 Monticello,MN,55362,"Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,1,3,3
1663,Super 8 Port Royal/beaufort,SC,29935,"Budget Hotel,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,2
1664,Super 8 St Cloud,MN,56301,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,1
1665,Super 8 Vandalia/dayton International Airport,OH,45377,"Budget Hotel,  Cable Internet,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,3
1666,Super 8-dover,DE,19901,"Hotel & Motel reservations,  Tourist Hotel,  Budget Hotel,  Business Hotel,  Family-friendly Hotel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,-1,3,2
1667,Super 8-el Centro,CA,92243,"Hotel & Motel,  Hotel",Accommodation & Food Services,1,4,4
1668,Super 8-wytheville,VA,24382,"Budget Hotel,  Extended Stay,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,3
1669,Table Mountain Inn,CO,80401,"Wedding Hall,  Lodging,  Restaurant,  Hotel & Motel,  Event Space,  Hotel",Accommodation & Food Services,1,4,4
1670,Tall Winds Motel,OR,97039,"Motel,  Lodging,  Hotel",Accommodation & Food Services,1,1,5
1671,Tarpon Inn,TX,78373,"Bed Breakfasts,  Hotel & Motel reservations,  Bed & Breakfasts,  Restaurants,  Restaurant,  Hotel & Motel,  American restaurants,  Hotel",Accommodation & Food Services,1,2,4
1672,Tawas Bay Beach Resort,MI,48730,"Bars Pubs,  Resorts,  Hotel & Motel,  Hotel,  Bars & Pubs",Accommodation & Food Services,1,1,4
